Record,Paisaje,Sample,Locality,Successional State,Succession,Plot,LeafLitter.g,LeafLitter/Mg/ha/month,LeafLitter/Mg/ha/month2,Branches.g,Branches/Mg/ha/month,Detritus.g,Detritus/Mg/ha/month,Flowers.g,Flowers/Mg/ha/month,Fruits.g,Fruits/Mg/ha/month,Total.g,Total/Mg/ha/month,Precipitation,Temp.Ave,Temp.Max
1,Lomerio,1,Morelia,2,DL2,P2,505.32,0.561,5.615,59.96,0.067,50.25,0.056,1.01,0.001,7.26,0.008,630.1,0.7,408.87,25.66,35.9
2,Lomerio,2,Morelia,2,DL2,P2,865.48,0.962,9.616,31.98,0.036,109.67,0.122,0.15,0,1.42,0.002,1019.44,1.133,375.13,25.88,37.1
3,Lomerio,3,Morelia,2,DL2,P2,676.03,0.751,7.511,40.93,0.045,141.39,0.157,0,0,33.59,0.037,900.4,1,239.33,25.4,37.81
4,Lomerio,4,Morelia,2,DL2,P2,372.52,0.414,4.139,34.98,0.039,358.56,0.398,5.7,0.006,4.28,0.005,781.04,0.868,286.31,25.47,35.15
5,Lomerio,5,Morelia,2,DL2,P2,456.37,0.507,5.071,46.51,0.052,357.98,0.398,8.77,0.01,15.02,0.017,890.68,0.99,166.01,25.77,35.17
6,Lomerio,6,Morelia,2,DL2,P2,878.52,0.976,9.761,82.6,0.092,412.43,0.458,0.71,0.001,97.91,0.109,1483.46,1.648,177.87,25.29,35.78
7,Lomerio,7,Morelia,2,DL2,P2,797.91,0.887,8.866,28.34,0.031,99.66,0.111,28.16,0.031,36.53,0.041,1000.53,1.112,74.32,26.13,37.17
8,Lomerio,8,Morelia,2,DL2,P2,355.76,0.395,3.953,21.97,0.024,147.52,0.164,0,0,48.35,0.054,578.14,0.642,315.86,25.77,37.13
9,Lomerio,9,Morelia,2,DL2,P2,423.46,0.471,4.705,18.08,0.02,58.09,0.065,0.1,0,41.02,0.046,546.01,0.607,491.1,23.81,33.45
10,Lomerio,10,Morelia,2,DL2,P2,541.42,0.602,6.016,26.88,0.03,112.54,0.125,0.71,0.001,34.72,0.039,723.04,0.803,509.15,24.02,34.45
11,Lomerio,11,Morelia,2,DL2,P2,457.8,0.509,5.087,35.32,0.039,113.63,0.126,0.16,0,3.71,0.004,616.38,0.685,482.56,22.64,33.14
12,Lomerio,12,Morelia,2,DL2,P2,534.13,0.593,5.935,75.62,0.084,181.94,0.202,2.12,0.002,28.42,0.032,829.05,0.921,241.33,23.21,34.32
13,Lomerio,1,Morelia,3,RL,P2,886.95,0.986,9.855,79.22,0.088,134.13,0.149,6.74,0.007,0.3,0,1118.43,1.243,408.87,25.66,35.9
