Landscape,Chrono,Chronosecuence,Plot,Species,abun,ab
Mountain,Intermediate Forest,IF,DM17,Abarema jupunba,1,110.6150777
Mountain,Intermediate Forest,IF,DM8,Abarema jupunba,1,1.732275307
Mountain,Old Forest,OF,RM11,Abarema laeta,2,0.031196481
Mountain,Old Forest,OF,RM11,Abuta grandifolia,3,0.061836113
Mountain,Intermediate Forest,IF,DM17,Acacia glomerosa,1,40.28879348
Mountain,Early Forest,EF,DM2,Acalypha macrostachya,1,26.93695807
Mountain,Intermediate Forest,IF,DM7,Adenocalymma,10,0.2535056
Hill,Early Forest,EF,DL12,Adenocalymma aspericarpum,1,0.181333348
Hill,Degraded Pasture,DP,DL10,Adenocalymma cladotrichum,1,0.00287476
Hill,Early Forest,EF,DL12,Adenocalymma cladotrichum,28,7.666581765
Hill,Intermediate Forest,IF,DL13,Adenocalymma cladotrichum,75,535.9534644
Hill,Early Forest,EF,DL2,Adenocalymma cladotrichum,28,15.65682491
Hill,Intermediate Forest,IF,DL3,Adenocalymma cladotrichum,31,12.1174308
Hill,Early Forest,EF,DL6,Adenocalymma cladotrichum,17,1.754814704
Hill,Intermediate Forest,IF,DL7,Adenocalymma cladotrichum,8,208.9248614
Mountain,Intermediate Forest,IF,DM12,Adenocalymma cladotrichum,1,0.065144218
Mountain,Early Forest,EF,DM16,Adenocalymma cladotrichum,2,4.788400422
Mountain,Intermediate Forest,IF,DM14,Adenocalymma sp. 1,29,1.82400864
Mountain,Old Forest,OF,RM14,Adenocalymma sp. 1,13,0.448958595
Hill,Intermediate Forest,IF,DL16,Aegiphila cordata,1,0.00287476
Hill,Degraded Pasture,DP,DL10,Aegiphila parviflora,1,0.005607952
Hill,Degraded Pasture,DP,DL11,Aegiphila parviflora,1,0.1590435
Hill,Intermediate Forest,IF,DL7,Aegiphila parviflora,1,9.94065292
Mountain,Early Forest,EF,DM1,Aegiphila parviflora,21,8553.751024
Mountain,Early Forest,EF,DM10,Aegiphila parviflora,2,123.9836779
Mountain,Intermediate Forest,IF,DM17,Aegiphila parviflora,1,129.0341967
Mountain,Intermediate Forest,IF,DM14,Agonandra peruviana,1,0.031416
Mountain,Old Forest,OF,RM3,Aiouea sp. 1,1,0.004071514
Hill,Early Forest,EF,DL12,Albizia pedicellaris,1,2137.179476
Mountain,Intermediate Forest,IF,DM14,Albizia pedicellaris,2,2665.837017
Mountain,Degraded Pasture,DP,DM15,Albizia pedicellaris,4,234.3351441
Mountain,Early Forest,EF,DM16,Albizia pedicellaris,4,1589.51672
Hill,Old Forest,OF,RL3,Albizia pedicellaris,1,152657.9685
Hill,Degraded Pasture,DP,DL11,Alchornea discolor,1,79.04446398
Mountain,Degraded Pasture,DP,DM11,Alchornea discolor,1,0.020612038
Hill,Degraded Pasture,DP,DL11,Alchornea fluviatilis,1,0.0019635
Hill,Intermediate Forest,IF,DL16,Alchornea fluviatilis,1,394.2012491
Hill,Intermediate Forest,IF,DL3,Alchornea fluviatilis,1,18.61564936
Mountain,Intermediate Forest,IF,DM7,Alchornea fluviatilis,1,0.044346248
Hill,Old Forest,OF,RL4,Alchornea fluviatilis,1,2.974785804
Hill,Early Forest,EF,DL12,Alchornea glandulosa,1,47.93701172
Hill,Intermediate Forest,IF,DL13,Alchornea glandulosa,1,2846.746562
Mountain,Intermediate Forest,IF,DM8,Alchornea glandulosa,1,0.006330676
Mountain,Intermediate Forest,IF,DM14,Alchornea sp. 1,1,26.9366151
Mountain,Degraded Pasture,DP,DM15,Alchornea sp. 1,20,1029.347622
Hill,Degraded Pasture,DP,DL11,Alchornea triplinervia,5,2.322824231
Hill,Intermediate Forest,IF,DL13,Alchornea triplinervia,2,238.0079618
Hill,Intermediate Forest,IF,DL16,Alchornea triplinervia,2,39806.48044
Hill,Intermediate Forest,IF,DL7,Alchornea triplinervia,12,5207.126406
Mountain,Early Forest,EF,DM10,Alchornea triplinervia,1,29.22474843
Mountain,Intermediate Forest,IF,DM12,Alchornea triplinervia,1,0.805157719
Mountain,Degraded Pasture,DP,DM15,Alchornea triplinervia,2,758.1529694
Mountain,Early Forest,EF,DM16,Alchornea triplinervia,4,115.1489706
Mountain,Degraded Pasture,DP,DM6,Alchornea triplinervia,4,0.330207787
Hill,Old Forest,OF,RL3,Alchornea triplinervia,2,4086.41447
Mountain,Old Forest,OF,RM3,Alchornea triplinervia,1,24.19576332
Mountain,Old Forest,OF,RM8,Alchornea triplinervia,2,0.0174832
Mountain,Early Forest,EF,DM1,Alchorneopsis floribunda,1,30.0761057
Mountain,Old Forest,OF,RM3,Alchorneopsis floribunda,1,63.3221622
Mountain,Old Forest,OF,RM8,Alchorneopsis floribunda,16,3386.266502
Mountain,Early Forest,EF,DM2,Alsophila cuspidata,13,457.3336276
Mountain,Old Forest,OF,RM14,Amaioua guianensis,1,110.4367936
Hill,Old Forest,OF,RL4,Amanoa almerindae,1,4539.162908
Hill,Intermediate Forest,IF,DL14,Ampelocera edentula,1,1.435635802
Mountain,Intermediate Forest,IF,DM14,Ampelocera edentula,2,42.04309533
Hill,Old Forest,OF,RL3,Ampelocera edentula,2,3121.356057
Hill,Early Forest,EF,DL2,Anaxagorea brevipes,1,0.181333348
Mountain,Old Forest,OF,RM3,Anaxagorea brevipes,11,61.09528212
Mountain,Old Forest,OF,RM9,Anaxagorea sp.,1,0.020612038
Mountain,Old Forest,OF,RM11,Andira macrothyrsa,1,2163.769259
Hill,Intermediate Forest,IF,DL3,Andira surinamensis,1,26.93686706
Mountain,Intermediate Forest,IF,DM7,Aniba canelilla,5,0.368070928
Mountain,Intermediate Forest,IF,DM14,Aniba guianensis,1,171.3966747
Mountain,Old Forest,OF,RM11,Aniba guianensis,1,911.1564104
Hill,Intermediate Forest,IF,DL3,Aniba panurensis,7,1.726906497
Mountain,Intermediate Forest,IF,DM14,Aniba panurensis,1,42.03022733
Hill,Old Forest,OF,RL2,Aniba panurensis,2,1.74E-06
Hill,Old Forest,OF,RL3,Aniba panurensis,1,60.95027013
