Landscape,Succession,Plot,CodeZ,TreesHA,BasalHA,Biomass,Richness,Family,Simpson_1-D,Shannon_H,Chao-1
Lomerio,DL1,P6,DL1 P6,228,2.8,20.1,5,5,0.332,0.690,5.5
Lomerio,DL1,P10,DL1 P10,72,0.82,5.7,11,8,0.889,2.293,14.8
Lomerio,DL1,P11,DL1 P11,144,6.5,64.4,16,10,0.903,2.543,19.5
Lomerio,DL2,P2,DL2 P2,424,12.2,105.7,39,21,0.952,3.302,61.8
Lomerio,DL2,P3,DL2 P3,436,17,158.3,41,20,0.946,3.265,122.3
Lomerio,DL2,P13,DL2 P13,512,14.8,131.0,37,24,0.915,3.043,46.6
Lomerio,DL2,P12,DL2 P12,404,11.1,97.7,37,18,0.958,3.395,65.9
Lomerio,DL2,P16,DL2 P16,368,8.2,66.6,28,17,0.880,2.707,43.2
Lomerio,DL2,P5,DL2 P5,536,16,141.9,50,23,0.967,3.649,62.2
Mountain,DM1,P6,DM1 P6,288,7,64,15,12,0.79,2.01,24.3
Mountain,DM1,P10,DM1 P10,504,9,71,31,19,0.91,2.84,42.1
Mountain,DM1,P11,DM1 P11,80,1,10,2,2,0.38,0.56,2.0
Mountain,DM1,P9,DM1 P9,644,21,191,57,25,0.96,3.68,109.8
Mountain,DM1,P15,DM1 P15,880,30,283,95,34,0.96,4.01,192.2
Mountain,DM1,P16,DM1 P16,888,23,202,54,25,0.95,3.47,101.3
Mountain,DM2,P12,DM2 P12,464,9,73,26,15,0.86,2.57,43.5
Mountain,DM2,P8,DM2 P8,612,24,233,37,20,0.92,2.96,56.4
Mountain,DM2,P17,DM2 P17,660,22,206,84,26,0.98,4.14,142.8
Mountain,DM2,P18,DM2 P18,264,5,36,7,5,0.48,1.08,7.0
Mountain,DM2,P7,DM2 P7,816,25,227,83,26,0.98,4.18,141.8
Mountain,DM2,P13,DM2 P13,504,7,54,15,12,0.61,1.48,33.0
Lomerio,RL,P2,RL P2,632,25.4,248.9,79,27,0.974,4.038,148.2
Lomerio,RL,P3,RL P3,572,26.6,280.4,69,26,0.964,3.836,138.5
Lomerio,RL,P4,RL P4,596,25.3,255.2,96,33,0.977,4.271,238.0
Lomerio,RL,P14,RL P14,568,24.7,248.8,77,32,0.973,4.037,150.5
Mountain,RM,P10,RM P10,752,29,296,77,36,0.96,3.80,138.9
Mountain,RM,P14,RM P14,532,18,169,58,23,0.96,3.67,124.1
Mountain,RM,P1,RM P1,1012,39,370,111,38,0.97,4.27,202.6
Mountain,RM,P2,RM P2,188,3,19,15,10,0.87,2.33,18.0
Mountain,RM,P12,RM P12,548,18,169,41,21,0.90,2.97,101.0
Mountain,RM,P13,RM P13,596,18,165,58,22,0.96,3.61,106.0
